cod_entidad,cod_sector,Tipo de gasto,Entidad,Sector,Total
2414,24,Funcionamiento,Unidad de planeación del sector de infraestructura de transporte,Transporte,19288602000
2414,24,Inversión,Unidad de planeación del sector de infraestructura de transporte,Transporte,16000000000
2416,24,Funcionamiento,Agencia nacional de seguridad vial,Transporte,36996146000
2416,24,Inversión,Agencia nacional de seguridad vial,Transporte,241160206000
2417,24,Funcionamiento,Superintendencia de puertos y transporte,Transporte,114024616077
2417,24,Inversión,Superintendencia de puertos y transporte,Transporte,166270004899
2501,25,Funcionamiento,Procuraduría general de la nación,Organismos de control,1612615440000
2501,25,Inversión,Procuraduría general de la nación,Organismos de control,200000000000
2502,25,Funcionamiento,Defensoría del pueblo,Organismos de control,1186328282287
2502,25,Inversión,Defensoría del pueblo,Organismos de control,117000000000
2601,26,Funcionamiento,Contraloría general de la república,Organismos de control,1477869226000
2601,26,Inversión,Contraloría general de la república,Organismos de control,140000000000
2602,26,Funcionamiento,Fondo de bienestar social de la contraloría general de la república,Organismos de control,173566738145
2602,26,Inversión,Fondo de bienestar social de la contraloría general de la república,Organismos de control,775497000
2701,27,Funcionamiento,Rama judicial,Rama judicial,9347270800000
2701,27,Deuda,Rama judicial,Rama judicial,17695578134
2701,27,Inversión,Rama judicial,Rama judicial,1500000000000
2801,28,Funcionamiento,Registraduría nacional del estado civil,Registraduría,5504581651000
2801,28,Inversión,Registraduría nacional del estado civil,Registraduría,188000000000
2802,28,Funcionamiento,Fondo rotatorio de la registraduría,Registraduría,95903515000
2802,28,Inversión,Fondo rotatorio de la registraduría,Registraduría,146047248109
2803,28,Funcionamiento,Fondo social de vivienda de la registraduría nacional del estado civil,Registraduría,17832634836
2901,29,Funcionamiento,Fiscalía general de la nación,Fiscalía,6283601000000
2901,29,Deuda,Fiscalía general de la nación,Fiscalía,173977914661
2901,29,Inversión,Fiscalía general de la nación,Fiscalía,287028308475
2902,29,Funcionamiento,Instituto nacional de medicina legal y ciencias forenses,Fiscalía,427295000000
2902,29,Inversión,Instituto nacional de medicina legal y ciencias forenses,Fiscalía,144772000000
2904,29,Funcionamiento,Fondo especial para la administración de bienes de la fiscalía general de la nación,Fiscalía,24127000000
2904,29,Inversión,Fondo especial para la administración de bienes de la fiscalía general de la nación,Fiscalía,76247674951
3201,32,Funcionamiento,Ministerio de ambiente y desarrollo sostenible,Ambiente y desarrollo sostenible,373302938938
3201,32,Inversión,Ministerio de ambiente y desarrollo sostenible,Ambiente y desarrollo sostenible,445564682908
3202,32,Funcionamiento,"Instituto de hidrología, meteorología y estudios ambientales- ideam",Ambiente y desarrollo sostenible,68333425997
3202,32,Inversión,"Instituto de hidrología, meteorología y estudios ambientales- ideam",Ambiente y desarrollo sostenible,62659388412
3204,32,Funcionamiento,Fondo nacional ambiental,Ambiente y desarrollo sostenible,106555691071
3204,32,Inversión,Fondo nacional ambiental,Ambiente y desarrollo sostenible,227619670302
3208,32,Funcionamiento,Corporación autónoma regional de los valles del sinú y san jorge (cvs),Ambiente y desarrollo sostenible,7680365691
3209,32,Funcionamiento,Corporación autónoma regional del quindío (crq),Ambiente y desarrollo sostenible,7174868500
3210,32,Funcionamiento,Corporación para el desarrollo sostenible del urabá (corpourabá),Ambiente y desarrollo sostenible,5788515211
3211,32,Funcionamiento,Corporación autónoma regional de caldas (corpocaldas),Ambiente y desarrollo sostenible,5244441380
3212,32,Funcionamiento,Corporación autónoma regional para el desarrollo sostenible del choco (codechoco),Ambiente y desarrollo sostenible,3467123679
3213,32,Funcionamiento,Corporación autónoma regional para la defensa de la meseta de bucaramanga (cdmb),Ambiente y desarrollo sostenible,1721888785
3214,32,Funcionamiento,Corporación autónoma regional del tolima (cortolima),Ambiente y desarrollo sostenible,2890330130
3215,32,Funcionamiento,Corporación autónoma regional de risaralda (carder),Ambiente y desarrollo sostenible,3533106523
3216,32,Funcionamiento,Corporación autónoma regional de nariño (corponariño),Ambiente y desarrollo sostenible,4043391136
3217,32,Funcionamiento,Corporación autónoma regional de la frontera nororiental (corponor),Ambiente y desarrollo sostenible,5359165162
3218,32,Funcionamiento,Corporación autónoma regional de la guajira (corpoguajira),Ambiente y desarrollo sostenible,5403809354
3219,32,Funcionamiento,Corporación autónoma regional del cesar (corpocesar),Ambiente y desarrollo sostenible,4629080000
3221,32,Funcionamiento,Corporación autónoma regional del cauca (crc),Ambiente y desarrollo sostenible,8861688373
3222,32,Funcionamiento,Corporación autónoma regional del magdalena (corpamag),Ambiente y desarrollo sostenible,7422572416
3223,32,Funcionamiento,Corporación para el desarrollo sostenible del sur de la amazonia (corpoamazonia),Ambiente y desarrollo sostenible,3433862100
3224,32,Funcionamiento,Corporación  para el desarrollo sostenible del norte y oriente de la amazonia (cda),Ambiente y desarrollo sostenible,3741110800
3224,32,Inversión,Corporación  para el desarrollo sostenible del norte y oriente de la amazonia (cda),Ambiente y desarrollo sostenible,4173492932
3226,32,Funcionamiento,"Corporación para el desarrollo sostenible del archipiélago de san andres, providencia y santa catalina (coralina)",Ambiente y desarrollo sostenible,3605369000
3227,32,Funcionamiento,Corporación para el desarrollo sostenible del área de manejo especial la macarena (cormacarena),Ambiente y desarrollo sostenible,3944255867
3228,32,Funcionamiento,Corporación  para el desarrollo sostenible de la mojana y el san jorge (corpomojana),Ambiente y desarrollo sostenible,3551624300
3229,32,Funcionamiento,Corporación autónoma regional de la orinoquia (corporinoquia),Ambiente y desarrollo sostenible,3370754318
3230,32,Funcionamiento,Corporación autónoma regional de sucre (carsucre),Ambiente y desarrollo sostenible,3938475900
3231,32,Funcionamiento,Corporación autónoma regional del alto magdalena (cam),Ambiente y desarrollo sostenible,3286033827
3232,32,Funcionamiento,Corporación autónoma regional del centro de antioquia (corantioquia),Ambiente y desarrollo sostenible,3474086217
3233,32,Funcionamiento,Corporación autónoma regional del atlántico (cra),Ambiente y desarrollo sostenible,3088652075
3234,32,Funcionamiento,Corporación autónoma regional de santander (cas),Ambiente y desarrollo sostenible,3381340700
3235,32,Funcionamiento,Corporación autónoma regional de boyacá (corpoboyacá),Ambiente y desarrollo sostenible,2831916938
3236,32,Funcionamiento,Corporación autónoma regional de chivor (corpochivor),Ambiente y desarrollo sostenible,3624983500
3237,32,Funcionamiento,Corporación autónoma regional del guavio (corpoguavio),Ambiente y desarrollo sostenible,1119025800
3238,32,Funcionamiento,Corporación autónoma regional del canal del dique (cardique),Ambiente y desarrollo sostenible,3311925207
3239,32,Funcionamiento,Corporación autónoma regional del sur de bolívar (csb),Ambiente y desarrollo sostenible,4253944800
3301,33,Funcionamiento,"Ministerio de las culturas, las artes y los saberes ancestrales",Cultura,346677011156
3301,33,Inversión,"Ministerio de las culturas, las artes y los saberes ancestrales",Cultura,399879295971
