Ingreso,Ingreso específico,Valor,Código de entidad,Código de sector,Sector,Entidad,Año,Ingreso_alt,IPC,Valor_25
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,VENTA DE BIENES Y SERVICIOS,2375000.0,1913.0,19.0,Salud y protección social,Fondo de previsión social del congreso ,2014,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,55.21141681319193,4301646.53813508
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,RECURSOS DE CAPITAL,53783500000.0,602.0,6.0,Nación,Nación,2014,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,55.21141681319193,97413729087.91077
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,VENTA DE BIENES Y SERVICIOS,156755000000.0,1102.0,11.0,Relaciones exteriores,Fondo rotatorio del ministerio de relaciones exteriores,2014,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,55.21141681319193,283917727614.8903
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,RECURSOS DE CAPITAL,11417000000.0,1102.0,11.0,Relaciones exteriores,Fondo rotatorio del ministerio de relaciones exteriores,2014,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,55.21141681319193,20678694116.163456
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,"TASAS, MULTAS Y CONTRIBUCIONES",12040000000.0,1104.0,11.0,Relaciones exteriores,Unidad administrativa especial migración colombia,2014,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,55.21141681319193,21807083923.8511
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,OTROS INGRESOS,116000000.0,1104.0,11.0,Relaciones exteriores,Unidad administrativa especial migración colombia,2014,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,55.21141681319193,210101473.02049232
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,RECURSOS DE CAPITAL,611000000.0,1104.0,11.0,Relaciones exteriores,Unidad administrativa especial migración colombia,2014,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,55.21141681319193,1106655172.547593
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,APORTES DE OTRAS ENTIDADES,10045000000.0,1204.0,12.0,Justicia y del derecho,Superintendencia de notariado y registro,2014,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,55.21141681319193,18193700831.817635
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,"TASAS, MULTAS Y CONTRIBUCIONES",564572252160.0,1204.0,12.0,Justicia y del derecho,Superintendencia de notariado y registro,2014,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,55.21141681319193,1022564325907.8691
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,OTROS INGRESOS,3064082519.0,1204.0,12.0,Justicia y del derecho,Superintendencia de notariado y registro,2014,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,55.21141681319193,5549726299.122765
