Año,Sector,Código de sector,Entidad,Código de entidad,Tipo de gasto,Apropiación a precios corrientes,Apropiación a precios constantes (2026)
2013,Presidencia de la república,2,Unidad nacional para la gestión del riesgo de desastres,211,Inversión,2392812678.0,4726075719.217194
2013,Presidencia de la república,2,Agencia para la reincorporación y la normalización - arn,212,Funcionamiento,152256000000.0,300722823529.4117
2013,Presidencia de la república,2,Agencia para la reincorporación y la normalización - arn,212,Inversión,4290000000.0,8473235294.117645
2013,Planeación,3,Departamento administrativo nacional de planeación,301,Funcionamiento,80672065183.0,159336454535.6538
2013,Planeación,3,Departamento administrativo nacional de planeación,301,Inversión,355962638202.0,703066477715.7148
2013,Planeación,3,Unidad administrativa especial  - agencia nacional de contratación pública - colombia compra eficiente,303,Funcionamiento,8831000000.0,17442223981.900448
2013,Planeación,3,Unidad administrativa especial  - agencia nacional de contratación pública - colombia compra eficiente,303,Inversión,15500000000.0,30614253393.665154
2013,Planeación,3,Superintendencia de servicios públicos domiciliarios,324,Funcionamiento,61151162000.0,120780462502.26242
2013,Planeación,3,Superintendencia de servicios públicos domiciliarios,324,Inversión,24814400000.0,49011247058.82352
2013,Planeación,3,Fondo nacional de regalías,325,Funcionamiento,3342000000.0,6600828054.298641
2013,DAS,6,Fondo rotatorio del departamento administrativo de seguridad,602,Inversión,8536540820.0,16860633791.538458
2013,DAS,6,Fondo rotatorio del departamento administrativo de seguridad,602,Funcionamiento,20991096000.0,41459789158.37103
2013,DAS,6,Departamento administrativo de seguridad (das) en supresión,601,Funcionamiento,74142862180.0,146440540007.10403
2013,Empleo público,5,Escuela superior de administración pública (esap),503,Inversión,86215272000.0,170284915058.8235
2013,Empleo público,5,Escuela superior de administración pública (esap),503,Funcionamiento,51383000000.0,101487237556.56108
2013,Empleo público,5,Departamento administrativo de la función pública,501,Inversión,5773000000.0,11402328054.29864
2013,Relaciones exteriores,11,Fondo rotatorio del ministerio de relaciones exteriores,1102,Funcionamiento,232440000000.0,459095294117.647
2013,Empleo público,5,Departamento administrativo de la función pública,501,Funcionamiento,13632550000.0,26925828393.665154
2013,Información estadística,4,Instituto geográfico agustín codazzi - igac,403,Funcionamiento,80240000000.0,158483076923.0769
2013,Información estadística,4,Fondo rotatorio del dane,402,Inversión,9500000000.0,18763574660.63348
2013,Información estadística,4,Fondo rotatorio del dane,402,Funcionamiento,1873400000.0,3700176923.0769224
2013,Información estadística,4,Departamento administrativo nacional de estadística (dane),401,Inversión,113181260052.0,223545791912.66055
2013,Información estadística,4,Departamento administrativo nacional de estadística (dane),401,Funcionamiento,73805588071.0,145774385488.6493
2013,Planeación,3,Fondo nacional de regalías,325,Inversión,408265000000.0,806369558823.5293
2013,Información estadística,4,Instituto geográfico agustín codazzi - igac,403,Inversión,145396846425.0,287175219296.4366
2013,Defensa y policía,15,Instituto casas fiscales del ejército,1507,Funcionamiento,20903385000.0,41286550011.31221
2013,Relaciones exteriores,11,Unidad administrativa especial migración colombia,1104,Inversión,13130000000.0,25933235294.11764
2013,Defensa y policía,15,Instituto casas fiscales del ejército,1507,Inversión,48316000000.0,95429565610.85973
2013,Salud y protección social,19,Fondo de previsión social del congreso ,1913,Funcionamiento,318542901000.0,629158263739.8188
2013,Salud y protección social,19,Fondo de previsión social del congreso ,1913,Inversión,636600000.0,1257357013.5746603
2013,Salud y protección social,19,Fondo pasivo social de ferrocarriles nacionales de colombia ,1914,Funcionamiento,416498052456.0,822630768764.9048
2013,Salud y protección social,19,Unidad administrativa especial comisión de regulación en salud - cres,1915,Funcionamiento,10484091000.0,20707265708.14479
2013,Salud y protección social,19,Unidad administrativa especial comisión de regulación en salud - cres,1915,Inversión,6945000000.0,13717160633.48416
2013,Minas y energía,21,Ministerio de minas y energía,2101,Funcionamiento,59648400000.0,117812337556.56108
2013,Minas y energía,21,Ministerio de minas y energía,2101,Inversión,2596610450000.0,5128599372963.8
2013,Minas y energía,21,Servicio geológico colombiano,2103,Funcionamiento,36702300000.0,72491194343.89139
2013,Minas y energía,21,Servicio geológico colombiano,2103,Inversión,133653400000.0,263980584162.89587
2013,Minas y energía,21,Unidad de planeacion minero energética - upme,2109,Funcionamiento,10952601000.0,21632625957.013573
2013,Minas y energía,21,Unidad de planeacion minero energética - upme,2109,Inversión,30742260000.0,60719441131.22171
2013,Minas y energía,21,Instituto de planificación y promoción de soluciones  energéticas para las zonas no interconectadas - ipse,2110,Funcionamiento,22400200000.0,44242928959.27601
2013,Minas y energía,21,Instituto de planificación y promoción de soluciones  energéticas para las zonas no interconectadas - ipse,2110,Inversión,36668600000.0,72424633031.6742
