ENTIDAD,CONCEPTO,NACION,PROPIOS,TOTAL,Tipo de gasto,Código de entidad,Código de sector,Sector,TOTAL %
Agencia nacional de tierras - ant,Inversion,1417540.7,2100.0,1419640.7,Inversion,1717,17,Agricultura y desarrollo rural,0.2685519267973043
Agencia nacional de tierras - ant,Servicio de la deuda,0.0,0.0,0.0,Servicio de la deuda,1717,17,Agricultura y desarrollo rural,0.0
Agencia nacional de tierras - ant,Transferencias,80.0,0.0,80.0,Funcionamiento,1717,17,Agricultura y desarrollo rural,1.5133515222397004e-05
Agencia nacional de tierras - ant,"Tributos, multas, sanciones, interés",2202.3,0.0,2202.3,Funcionamiento,1717,17,Agricultura y desarrollo rural,0.0004166067571785615
Agencia nacional del espectro - ane,Adquisicion de activos financieros,0.0,0.0,0.0,Funcionamiento,2309,23,Tecnologías de la información y las comunicaciones,0.0
Agencia nacional del espectro - ane,Adquisición de bienes y servicios,0.0,4240.0,4240.0,Funcionamiento,2309,23,Tecnologías de la información y las comunicaciones,0.0008020763067870412
Agencia nacional del espectro - ane,Disminución de pasivos,0.0,0.0,0.0,Funcionamiento,2309,23,Tecnologías de la información y las comunicaciones,0.0
Agencia nacional del espectro - ane,Gastos comerc. y produccion,0.0,0.0,0.0,Funcionamiento,2309,23,Tecnologías de la información y las comunicaciones,0.0
Agencia nacional del espectro - ane,Gastos de personal,0.0,16982.0,16982.0,Funcionamiento,2309,23,Tecnologías de la información y las comunicaciones,0.003212466943834324
Agencia nacional del espectro - ane,Inversion,0.0,27759.4,27759.4,Inversion,2309,23,Tecnologías de la información y las comunicaciones,0.005251216280807593
Agencia nacional del espectro - ane,Servicio de la deuda,0.0,0.0,0.0,Servicio de la deuda,2309,23,Tecnologías de la información y las comunicaciones,0.0
Agencia nacional del espectro - ane,Transferencias,0.0,276.8,276.8,Funcionamiento,2309,23,Tecnologías de la información y las comunicaciones,5.236196266949364e-05
Agencia nacional del espectro - ane,"Tributos, multas, sanciones, interés",0.0,80.9,80.9,Funcionamiento,2309,23,Tecnologías de la información y las comunicaciones,1.5303767268648975e-05
Agencia para la reincorporación y la normalización - arn,Adquisicion de activos financieros,0.0,0.0,0.0,Funcionamiento,212,2,Presidencia de la república,0.0
Agencia para la reincorporación y la normalización - arn,Adquisición de bienes y servicios,9286.0,0.0,9286.0,Funcionamiento,212,2,Presidencia de la república,0.0017566227794397322
Agencia para la reincorporación y la normalización - arn,Disminución de pasivos,0.0,0.0,0.0,Funcionamiento,212,2,Presidencia de la república,0.0
Agencia para la reincorporación y la normalización - arn,Gastos comerc. y produccion,0.0,0.0,0.0,Funcionamiento,212,2,Presidencia de la república,0.0
Agencia para la reincorporación y la normalización - arn,Gastos de personal,54310.8,0.0,54310.8,Funcionamiento,212,2,Presidencia de la república,0.010273916481756991
Agencia para la reincorporación y la normalización - arn,Inversion,1270.0,0.0,1270.0,Inversion,212,2,Presidencia de la república,0.00024024455415555245
Agencia para la reincorporación y la normalización - arn,Servicio de la deuda,1383.3,0.0,1383.3,Servicio de la deuda,212,2,Presidencia de la república,0.0002616773950892722
Agencia para la reincorporación y la normalización - arn,Transferencias,270745.4,0.0,270745.4,Funcionamiento,212,2,Presidencia de la república,0.051216620403674584
Agencia para la reincorporación y la normalización - arn,"Tributos, multas, sanciones, interés",763.2,0.0,763.2,Funcionamiento,212,2,Presidencia de la república,0.00014437373522166745
"Agencia presidencial de cooperación internacional de colombia, apc - colombia",Adquisicion de activos financieros,0.0,0.0,0.0,Funcionamiento,209,2,Presidencia de la república,0.0
"Agencia presidencial de cooperación internacional de colombia, apc - colombia",Adquisición de bienes y servicios,4499.0,0.0,4499.0,Funcionamiento,209,2,Presidencia de la república,0.0008510710623195517
"Agencia presidencial de cooperación internacional de colombia, apc - colombia",Disminución de pasivos,0.0,0.0,0.0,Funcionamiento,209,2,Presidencia de la república,0.0
"Agencia presidencial de cooperación internacional de colombia, apc - colombia",Gastos comerc. y produccion,0.0,0.0,0.0,Funcionamiento,209,2,Presidencia de la república,0.0
"Agencia presidencial de cooperación internacional de colombia, apc - colombia",Gastos de personal,14983.6,0.0,14983.6,Funcionamiento,209,2,Presidencia de la república,0.002834431733578847
"Agencia presidencial de cooperación internacional de colombia, apc - colombia",Inversion,1625.5,97940.6,99566.1,Inversion,209,2,Presidencia de la república,0.01883481362480878
"Agencia presidencial de cooperación internacional de colombia, apc - colombia",Servicio de la deuda,0.0,0.0,0.0,Servicio de la deuda,209,2,Presidencia de la república,0.0
"Agencia presidencial de cooperación internacional de colombia, apc - colombia",Transferencias,21856.9,0.0,21856.9,Funcionamiento,209,2,Presidencia de la república,0.0041346466108051145
"Agencia presidencial de cooperación internacional de colombia, apc - colombia","Tributos, multas, sanciones, interés",531.0,0.0,531.0,Funcionamiento,209,2,Presidencia de la república,0.00010044870728866012
Archivo general de la nación,Adquisicion de activos financieros,0.0,0.0,0.0,Funcionamiento,3304,33,"Ministerio de las culturas, las artes y los saberes ancestrales",0.0
Archivo general de la nación,Adquisición de bienes y servicios,4152.3,300.0,4452.3,Funcionamiento,3304,33,"Ministerio de las culturas, las artes y los saberes ancestrales",0.0008422368728084773
Archivo general de la nación,Disminución de pasivos,0.0,0.0,0.0,Funcionamiento,3304,33,"Ministerio de las culturas, las artes y los saberes ancestrales",0.0
Archivo general de la nación,Gastos comerc. y produccion,0.0,0.0,0.0,Funcionamiento,3304,33,"Ministerio de las culturas, las artes y los saberes ancestrales",0.0
Archivo general de la nación,Gastos de personal,17151.7,0.0,17151.7,Funcionamiento,3304,33,"Ministerio de las culturas, las artes y los saberes ancestrales",0.003244568912999834
Archivo general de la nación,Inversion,5994.1,10152.7,16146.8,Inversion,3304,33,"Ministerio de las culturas, las artes y los saberes ancestrales",0.0030544730449124993
Archivo general de la nación,Servicio de la deuda,0.0,0.0,0.0,Servicio de la deuda,3304,33,"Ministerio de las culturas, las artes y los saberes ancestrales",0.0
Archivo general de la nación,Transferencias,260.5,171.8,432.3,Funcionamiento,3304,33,"Ministerio de las culturas, las artes y los saberes ancestrales",8.177773288302781e-05
Archivo general de la nación,"Tributos, multas, sanciones, interés",186.5,0.0,186.5,Funcionamiento,3304,33,"Ministerio de las culturas, las artes y los saberes ancestrales",3.528000736221302e-05
Auditoría general de la república,Adquisicion de activos financieros,0.0,0.0,0.0,Funcionamiento,3401,25,Organismos de control,0.0
Auditoría general de la república,Adquisición de bienes y servicios,6669.3,0.0,6669.3,Funcionamiento,3401,25,Organismos de control,0.0012616244134091544
Auditoría general de la república,Disminución de pasivos,0.0,0.0,0.0,Funcionamiento,3401,25,Organismos de control,0.0
Auditoría general de la república,Gastos comerc. y produccion,0.0,0.0,0.0,Funcionamiento,3401,25,Organismos de control,0.0
Auditoría general de la república,Gastos de personal,46281.9,0.0,46281.9,Funcionamiento,3401,25,Organismos de control,0.0087550979771432
Auditoría general de la república,Inversion,7496.1,0.0,7496.1,Inversion,3401,25,Organismos de control,0.0014180292932326275
Auditoría general de la república,Servicio de la deuda,71.2,0.0,71.2,Servicio de la deuda,3401,25,Organismos de control,1.3468828547933335e-05
Auditoría general de la república,Transferencias,138.0,0.0,138.0,Funcionamiento,3401,25,Organismos de control,2.610531375863483e-05
Auditoría general de la república,"Tributos, multas, sanciones, interés",140.7,0.0,140.7,Funcionamiento,3401,25,Organismos de control,2.661606989739073e-05
Autoridad nacional de acuicultura y pesca - aunap,Adquisicion de activos financieros,0.0,0.0,0.0,Funcionamiento,1715,17,Agricultura y desarrollo rural,0.0
Autoridad nacional de acuicultura y pesca - aunap,Adquisición de bienes y servicios,8603.1,1078.0,9681.1,Funcionamiento,1715,17,Agricultura y desarrollo rural,0.0018313634277443457
Autoridad nacional de acuicultura y pesca - aunap,Disminución de pasivos,0.0,0.0,0.0,Funcionamiento,1715,17,Agricultura y desarrollo rural,0.0
Autoridad nacional de acuicultura y pesca - aunap,Gastos comerc. y produccion,0.0,0.0,0.0,Funcionamiento,1715,17,Agricultura y desarrollo rural,0.0
Autoridad nacional de acuicultura y pesca - aunap,Gastos de personal,15102.1,0.0,15102.1,Funcionamiento,1715,17,Agricultura y desarrollo rural,0.002856848253002023
Autoridad nacional de acuicultura y pesca - aunap,Inversion,41071.1,7200.7,48271.8,Inversion,1715,17,Agricultura y desarrollo rural,0.009131525251406298
Autoridad nacional de acuicultura y pesca - aunap,Servicio de la deuda,0.0,0.0,0.0,Servicio de la deuda,1715,17,Agricultura y desarrollo rural,0.0
Autoridad nacional de acuicultura y pesca - aunap,Transferencias,210.3,0.0,210.3,Funcionamiento,1715,17,Agricultura y desarrollo rural,3.978222814087613e-05
Autoridad nacional de acuicultura y pesca - aunap,"Tributos, multas, sanciones, interés",300.2,0.0,300.2,Funcionamiento,1715,17,Agricultura y desarrollo rural,5.678851587204476e-05
Caja de retiro de las fuerzas militares,Adquisicion de activos financieros,0.0,0.0,0.0,Funcionamiento,1503,15,Defensa y policía,0.0
Caja de retiro de las fuerzas militares,Adquisición de bienes y servicios,0.0,13720.9,13720.9,Funcionamiento,1503,15,Defensa y policía,0.002595568112687338
Caja de retiro de las fuerzas militares,Disminución de pasivos,0.0,814.7,814.7,Funcionamiento,1503,15,Defensa y policía,0.0001541159356460855
Caja de retiro de las fuerzas militares,Gastos comerc. y produccion,0.0,6619.8,6619.8,Funcionamiento,1503,15,Defensa y policía,0.0012522605508652964
Caja de retiro de las fuerzas militares,Gastos de personal,0.0,9905.3,9905.3,Funcionamiento,1503,15,Defensa y policía,0.0018737751041551132
Caja de retiro de las fuerzas militares,Inversion,0.0,16476.8,16476.8,Inversion,1503,15,Defensa y policía,0.0031168987952048866
Caja de retiro de las fuerzas militares,Servicio de la deuda,10282.3,0.0,10282.3,Servicio de la deuda,1503,15,Defensa y policía,0.0019450917946406588
Caja de retiro de las fuerzas militares,Transferencias,7288811.8,349665.3,7638477.1,Funcionamiento,1503,15,Defensa y policía,1.4449626183597615
Caja de retiro de las fuerzas militares,"Tributos, multas, sanciones, interés",7804.8,9266.7,17071.5,Funcionamiento,1503,15,Defensa y policía,0.003229397563989381
Caja de sueldos de retiro de la policía nacional,Adquisicion de activos financieros,0.0,2500.0,2500.0,Funcionamiento,1511,15,Defensa y policía,0.0004729223506999064
Caja de sueldos de retiro de la policía nacional,Adquisición de bienes y servicios,0.0,9720.1,9720.1,Funcionamiento,1511,15,Defensa y policía,0.0018387410164152642
Caja de sueldos de retiro de la policía nacional,Disminución de pasivos,0.0,470.7,470.7,Funcionamiento,1511,15,Defensa y policía,8.904182018977838e-05
Caja de sueldos de retiro de la policía nacional,Gastos comerc. y produccion,0.0,1523.6,1523.6,Funcionamiento,1511,15,Defensa y policía,0.00028821779741055096
Caja de sueldos de retiro de la policía nacional,Gastos de personal,0.0,8221.8,8221.8,Funcionamiento,1511,15,Defensa y policía,0.0015553091931937962
Caja de sueldos de retiro de la policía nacional,Inversion,0.0,9548.4,9548.4,Inversion,1511,15,Defensa y policía,0.0018062607093691945
Caja de sueldos de retiro de la policía nacional,Servicio de la deuda,9854.2,0.0,9854.2,Servicio de la deuda,1511,15,Defensa y policía,0.0018641085713068072
Caja de sueldos de retiro de la policía nacional,Transferencias,6763148.2,384964.7,7148112.9,Funcionamiento,1511,15,Defensa y policía,1.35220094229453
Caja de sueldos de retiro de la policía nacional,"Tributos, multas, sanciones, interés",12018.3,6045.9,18064.2,Funcionamiento,1511,15,Defensa y policía,0.0034171855710052996
Centro de memoria histórica,Adquisicion de activos financieros,0.0,0.0,0.0,Funcionamiento,4105,41,Inclusión social y reconciliación,0.0
Centro de memoria histórica,Adquisición de bienes y servicios,3439.8,0.0,3439.8,Funcionamiento,4105,41,Inclusión social y reconciliación,0.0006507033207750153
Centro de memoria histórica,Disminución de pasivos,0.0,0.0,0.0,Funcionamiento,4105,41,Inclusión social y reconciliación,0.0
Centro de memoria histórica,Gastos comerc. y produccion,0.0,0.0,0.0,Funcionamiento,4105,41,Inclusión social y reconciliación,0.0
Centro de memoria histórica,Gastos de personal,15517.0,0.0,15517.0,Funcionamiento,4105,41,Inclusión social y reconciliación,0.002935334446324179
Centro de memoria histórica,Inversion,16142.2,0.0,16142.2,Inversion,4105,41,Inclusión social y reconciliación,0.0030536028677872118
Centro de memoria histórica,Servicio de la deuda,165.9,0.0,165.9,Servicio de la deuda,4105,41,Inclusión social y reconciliación,3.138312719244579e-05
Centro de memoria histórica,Transferencias,85.3,0.0,85.3,Funcionamiento,4105,41,Inclusión social y reconciliación,1.6136110605880807e-05
Centro de memoria histórica,"Tributos, multas, sanciones, interés",177.6,0.0,177.6,Funcionamiento,4105,41,Inclusión social y reconciliación,3.359640379372135e-05
Club militar de oficiales,Adquisicion de activos financieros,0.0,0.0,0.0,Funcionamiento,1510,15,Defensa y policía,0.0
Club militar de oficiales,Adquisición de bienes y servicios,0.0,2489.9,2489.9,Funcionamiento,1510,15,Defensa y policía,0.0004710117444030788
Club militar de oficiales,Disminución de pasivos,0.0,424.0,424.0,Funcionamiento,1510,15,Defensa y policía,8.020763067870413e-05
