Sector,Código de sector,Entidad,Código de entidad,Tipo de gasto,Año,apropiacion_corrientes,Apropiación a precios corrientes
Justicia y del derecho,12,Unidad administrativa especial agencia nacional de defensa jurídica del estado,1210,Funcionamiento,2025,142920600000.0,142920600000.0
Justicia y del derecho,12,Unidad administrativa especial agencia nacional de defensa jurídica del estado,1210,Inversión,2025,12266327000.0,12266327000.0
Justicia y del derecho,12,Unidad de servicios penitenciarios y carcelarios - uspec,1211,Funcionamiento,2025,1521986600000.0,1521986600000.0
Justicia y del derecho,12,Unidad de servicios penitenciarios y carcelarios - uspec,1211,Inversión,2025,417850199304.0,417850199304.0
Minas y energía,21,Agencia nacional de hidrocarburos - anh,2111,Funcionamiento,2025,3064210361082.0,3064210361082.0
Minas y energía,21,Agencia nacional de hidrocarburos - anh,2111,Inversión,2025,385890000000.0,385890000000.0
Minas y energía,21,Agencia nacional de minería - anm,2112,Funcionamiento,2025,372516686000.0,372516686000.0
Minas y energía,21,Agencia nacional de minería - anm,2112,Inversión,2025,116615000000.0,116615000000.0
Minas y energía,21,Instituto de planificación y promoción de soluciones  energéticas para las zonas no interconectadas - ipse,2110,Funcionamiento,2025,27129264823.0,27129264823.0
Minas y energía,21,Instituto de planificación y promoción de soluciones  energéticas para las zonas no interconectadas - ipse,2110,Inversión,2025,137762840337.0,137762840337.0
Minas y energía,21,Ministerio de minas y energía,2101,Funcionamiento,2025,213507113200.0,213507113200.0
Minas y energía,21,Ministerio de minas y energía,2101,Deuda,2025,3459701281.0,3459701281.0
Minas y energía,21,Ministerio de minas y energía,2101,Inversión,2025,6651165204240.0,6651165204240.0
Minas y energía,21,Servicio geológico colombiano,2103,Funcionamiento,2025,77090638784.0,77090638784.0
Minas y energía,21,Servicio geológico colombiano,2103,Inversión,2025,100000000000.0,100000000000.0
Minas y energía,21,Unidad de planeacion minero energética - upme,2109,Funcionamiento,2025,37050677000.0,37050677000.0
Minas y energía,21,Unidad de planeacion minero energética - upme,2109,Inversión,2025,28045831271.0,28045831271.0
"Ministerio de las culturas, las artes y los saberes",33,Archivo general de la nación,3304,Funcionamiento,2025,20106894416.0,20106894416.0
"Ministerio de las culturas, las artes y los saberes",33,Archivo general de la nación,3304,Inversión,2025,34525005387.0,34525005387.0
"Ministerio de las culturas, las artes y los saberes",33,Instituto caro y cuervo,3307,Funcionamiento,2025,16050094833.0,16050094833.0
"Ministerio de las culturas, las artes y los saberes",33,Instituto caro y cuervo,3307,Inversión,2025,14454263039.0,14454263039.0
"Ministerio de las culturas, las artes y los saberes",33,Instituto colombiano de antropología e historia,3305,Funcionamiento,2025,27730016172.0,27730016172.0
"Ministerio de las culturas, las artes y los saberes",33,Instituto colombiano de antropología e historia,3305,Inversión,2025,33681709185.0,33681709185.0
"Ministerio de las culturas, las artes y los saberes",33,"Ministerio de las culturas, las artes y los saberes",3301,Funcionamiento,2025,292859963090.0,292859963090.0
"Ministerio de las culturas, las artes y los saberes",33,"Ministerio de las culturas, las artes y los saberes",3301,Inversión,2025,651354591139.0,651354591139.0
Organismos de control,25,Defensoría del pueblo,2502,Funcionamiento,2025,1130439000000.0,1130439000000.0
Organismos de control,25,Defensoría del pueblo,2502,Inversión,2025,122300000000.0,122300000000.0
Organismos de control,25,Procuraduría general de la nación,2501,Funcionamiento,2025,1347128000000.0,1347128000000.0
Organismos de control,25,Procuraduría general de la nación,2501,Inversión,2025,96802000000.0,96802000000.0
Organismos de control,26,Contraloría general de la república,2601,Funcionamiento,2025,1307041000000.0,1307041000000.0
Organismos de control,26,Contraloría general de la república,2601,Inversión,2025,186701326884.0,186701326884.0
Organismos de control,26,Fondo de bienestar social de la contraloría general de la república,2602,Funcionamiento,2025,148098000000.0,148098000000.0
Organismos de control,26,Fondo de bienestar social de la contraloría general de la república,2602,Inversión,2025,898818033.0,898818033.0
Organismos de control,34,Auditoría general de la republica,3401,Funcionamiento,2025,63510000000.0,63510000000.0
Organismos de control,34,Auditoría general de la republica,3401,Inversión,2025,13000000000.0,13000000000.0
Planeación,3,Departamento administrativo nacional de planeación,301,Funcionamiento,2025,121110968620.0,121110968620.0
Planeación,3,Departamento administrativo nacional de planeación,301,Inversión,2025,643371314128.0,643371314128.0
Planeación,3,Superintendencia de servicios públicos domiciliarios,324,Funcionamiento,2025,354424083800.0,354424083800.0
Planeación,3,Superintendencia de servicios públicos domiciliarios,324,Inversión,2025,38078000000.0,38078000000.0
Planeación,3,Unidad administrativa especial  - agencia nacional de contratación pública - colombia compra eficiente,303,Funcionamiento,2025,25808823411.0,25808823411.0
Planeación,3,Unidad administrativa especial  - agencia nacional de contratación pública - colombia compra eficiente,303,Inversión,2025,94683000000.0,94683000000.0
Presidencia de la república,2,Agencia de renovación del territorio – art,214,Funcionamiento,2025,74833000000.0,74833000000.0
Presidencia de la república,2,Agencia de renovación del territorio – art,214,Inversión,2025,65000000000.0,65000000000.0
Presidencia de la república,2,Agencia nacional inmobiliaria virgilio barco vargas,213,Funcionamiento,2025,11856000000.0,11856000000.0
Presidencia de la república,2,Agencia nacional inmobiliaria virgilio barco vargas,213,Inversión,2025,24000000000.0,24000000000.0
