Año,Sector,Código de sector,Entidad,Código de entidad,Tipo de gasto,apropiacion_corrientes,Apropiación a precios corrientes,IPC,apropiacion_cons_2025,Apropiación a precios constantes (2025)
2013,Minas y energía,21,Ministerio de minas y energía,2101,Funcionamiento,59648400000.0,59648400000.0,53.263251141718804,111987906711.31223,111987906711.31223
2013,Minas y energía,21,Ministerio de minas y energía,2101,Inversión,2596610450000.0,2596610450000.0,53.263251141718804,4875050610581.649,4875050610581.649
2013,Minas y energía,21,Servicio geológico colombiano,2103,Funcionamiento,36702300000.0,36702300000.0,53.263251141718804,68907359602.11162,68907359602.11162
2013,Minas y energía,21,Servicio geológico colombiano,2103,Inversión,133653400000.0,133653400000.0,53.263251141718804,250929857143.69034,250929857143.69034
2013,Minas y energía,21,Unidad de planeación minero energética - upme,2109,Funcionamiento,10952601000.0,10952601000.0,53.263251141718804,20563147696.069386,20563147696.069386
2013,Minas y energía,21,Unidad de planeación minero energética - upme,2109,Inversión,30742260000.0,30742260000.0,53.263251141718804,57717580772.91102,57717580772.91102
2013,Minas y energía,21,Instituto de planificación y promoción de soluciones energéticas para las zonas no interconectadas - ipse,2110,Funcionamiento,22400200000.0,22400200000.0,53.263251141718804,42055637836.29965,42055637836.29965
2013,Minas y energía,21,Instituto de planificación y promoción de soluciones energéticas para las zonas no interconectadas - ipse,2110,Inversión,36668600000.0,36668600000.0,53.263251141718804,68844088961.89041,68844088961.89041
2013,Minas y energía,21,Agencia nacional de hidrocarburos - anh,2111,Funcionamiento,251008863000.0,251008863000.0,53.263251141718804,471260874279.21875,471260874279.21875
2013,Minas y energía,21,Agencia nacional de hidrocarburos - anh,2111,Inversión,313820000000.0,313820000000.0,53.263251141718804,589186715555.5557,589186715555.5557
2013,Minas y energía,21,Agencia nacional de minería - anm,2112,Funcionamiento,62949500000.0,62949500000.0,53.263251141718804,118185613252.38815,118185613252.38815
2013,Minas y energía,21,Agencia nacional de minería - anm,2112,Inversión,16408700000.0,16408700000.0,53.263251141718804,30806793893.11212,30806793893.11212
2013,Educación,22,Ministerio de educación nacional,2201,Funcionamiento,23403735052458.0,23403735052458.0,53.263251141718804,43939741849755.14,43939741849755.14
2013,Educación,22,Ministerio de educación nacional,2201,Inversión,1496076676026.0,1496076676026.0,53.263251141718804,2808834691756.523,2808834691756.523
2013,Igualdad y equidad,46,Instituto nacional para sordos (insor),4603,Funcionamiento,3557826459.0,3557826459.0,53.263251141718804,6679702013.5582905,6679702013.5582905
2013,Igualdad y equidad,46,Instituto nacional para sordos (insor),4603,Inversión,8259472410.0,8259472410.0,53.263251141718804,15506887456.088297,15506887456.088297
2013,Igualdad y equidad,46,Instituto nacional para ciegos (inci),4604,Funcionamiento,3676117399.0,3676117399.0,53.263251141718804,6901789357.955012,6901789357.955012
2013,Igualdad y equidad,46,Instituto nacional para ciegos (inci),4604,Inversión,1543562139.0,1543562139.0,53.263251141718804,2897987084.740673,2897987084.740673
2013,Educación,22,Escuela tecnológica instituto técnico central,2234,Funcionamiento,12710813248.0,12710813248.0,53.263251141718804,23864133291.78881,23864133291.78881
2013,Educación,22,Escuela tecnológica instituto técnico central,2234,Inversión,4069792971.0,4069792971.0,53.263251141718804,7640902280.20705,7640902280.20705
2013,Educación,22,Instituto nacional de formación técnica profesional de san andrés y providencia,2238,Funcionamiento,2588567943.0,2588567943.0,53.263251141718804,4859951068.537922,4859951068.537922
2013,Educación,22,Instituto nacional de formación técnica profesional de san andrés y providencia,2238,Inversión,786950000.0,786950000.0,53.263251141718804,1477472709.8541982,1477472709.8541982
2013,Educación,22,Instituto nacional de formación técnica profesional de san juan del cesar,2239,Funcionamiento,3265827018.0,3265827018.0,53.263251141718804,6131482678.949762,6131482678.949762
2013,Educación,22,Instituto nacional de formación técnica profesional de san juan del cesar,2239,Inversión,1698315701.0,1698315701.0,53.263251141718804,3188531801.1873717,3188531801.1873717
2013,Educación,22,Instituto tolimense de formación técnica profesional,2241,Funcionamiento,9748127797.0,9748127797.0,53.263251141718804,18301788922.089874,18301788922.089874
2013,Educación,22,Instituto tolimense de formación técnica profesional,2241,Inversión,600740000.0,600740000.0,53.263251141718804,1127869566.9582705,1127869566.9582705
2013,Educación,22,"Instituto técnico nacional de comercio ""simón rodríguez"" de cali",2242,Funcionamiento,4157198202.0,4157198202.0,53.263251141718804,7805002723.057298,7805002723.057298
2013,Educación,22,"Instituto técnico nacional de comercio ""simón rodríguez"" de cali",2242,Inversión,287116568.0,287116568.0,53.263251141718804,539051901.3495103,539051901.3495103
2013,Tecnologías de la información y las comunicaciones,23,Ministerio de tecnologías de la información y las comunicaciones,2301,Funcionamiento,64534400000.0,64534400000.0,53.263251141718804,121161210809.85422,121161210809.85422
2013,Tecnologías de la información y las comunicaciones,23,Ministerio de tecnologías de la información y las comunicaciones,2301,Inversión,8550000000.0,8550000000.0,53.263251141718804,16052343438.914028,16052343438.914028
2013,Tecnologías de la información y las comunicaciones,23,Fondo único de tecnologías de la información y las comunicaciones,2306,Funcionamiento,346709700000.0,346709700000.0,53.263251141718804,650936044210.8597,650936044210.8597
2013,Tecnologías de la información y las comunicaciones,23,Fondo único de tecnologías de la información y las comunicaciones,2306,Inversión,993315800000.0,993315800000.0,53.263251141718804,1864917703497.034,1864917703497.034
2013,Tecnologías de la información y las comunicaciones,23,Agencia nacional del espectro - ane,2309,Funcionamiento,9664000000.0,9664000000.0,53.263251141718804,18143841753.64505,18143841753.64505
2013,Tecnologías de la información y las comunicaciones,23,Agencia nacional del espectro - ane,2309,Inversión,18500000000.0,18500000000.0,53.263251141718804,34733140774.25842,34733140774.25842
2013,Transporte,24,Ministerio de transporte,2401,Funcionamiento,101182300000.0,101182300000.0,53.263251141718804,189966436203.41882,189966436203.41882
2013,Transporte,24,Ministerio de transporte,2401,Inversión,141894300000.0,141894300000.0,53.263251141718804,266401875511.6139,266401875511.6139
2013,Transporte,24,Instituto nacional de vías,2402,Funcionamiento,118498600000.0,118498600000.0,53.263251141718804,222477219208.24536,222477219208.24536
2013,Transporte,24,Instituto nacional de vías,2402,Deuda,59180100000.0,59180100000.0,53.263251141718804,111108688882.95627,111108688882.95627
2013,Transporte,24,Instituto nacional de vías,2402,Inversión,3764202787083.0,3764202787083.0,53.263251141718804,7067166773330.257,7067166773330.257
