Año,Sector,Código de sector,Entidad,Código de entidad,Tipo de gasto,apropiacion_corrientes,apropiacion_cons_2024,Apropiación a precios corrientes en millones,Apropiación a precios constantes (2024) en millones
2013,Minas y energía,21,Instituto de planificación y promoción de soluciones energéticas para las zonas no interconectadas - ipse,2110,Funcionamiento,22400200000,39525375323.51057,22400.2,39525.38
2013,Minas y energía,21,Instituto de planificación y promoción de soluciones energéticas para las zonas no interconectadas - ipse,2110,Inversion,36668600000,64702108802.04996,36668.6,64702.11
2013,Minas y energía,21,Agencia nacional de hidrocarburos - anh,2111,Funcionamiento,251008863000,442907631164.1255,251008.86,442907.63
2013,Minas y energía,21,Agencia nacional de hidrocarburos - anh,2111,Inversion,313820000000,553738506085.8423,313820.0,553738.51
2013,Minas y energía,21,Agencia nacional de minería - anm,2112,Funcionamiento,62949500000,111075017809.0967,62949.5,111075.02
2013,Minas y energía,21,Agencia nacional de minería - anm,2112,Inversion,16408700000,28953314080.71748,16408.7,28953.31
2013,Educación,22,Ministerio de educación nacional,2201,Funcionamiento,23403735052458,41296122888206.48,23403735.05,41296122.89
2013,Educación,22,Ministerio de educación nacional,2201,Inversion,1496076676026,2639842150189.631,1496076.68,2639842.15
2013,Igualdad y equidad,46,Instituto nacional para sordos (insor),4603,Funcionamiento,3557826459,6277820114.458424,3557.83,6277.82
2013,Igualdad y equidad,46,Instituto nacional para sordos (insor),4603,Inversion,8259472410,14573921080.1435,8259.47,14573.92
2013,Igualdad y equidad,46,Instituto nacional para ciegos (inci),4604,Funcionamiento,3676117399,6486545652.662139,3676.12,6486.55
2013,Igualdad y equidad,46,Instituto nacional para ciegos (inci),4604,Inversion,1543562139,2723630721.115695,1543.56,2723.63
2013,Educación,22,Escuela tecnológica instituto técnico central,2234,Funcionamiento,12710813248,22428356188.52735,12710.81,22428.36
2013,Educación,22,Escuela tecnológica instituto técnico central,2234,Inversion,4069792971,7181190108.470467,4069.79,7181.19
2013,Educación,22,Instituto nacional de formación técnica profesional de san andrés y providencia,2238,Funcionamiento,2588567943,4567553838.692633,2588.57,4567.55
2013,Educación,22,Instituto nacional de formación técnica profesional de san andrés y providencia,2238,Inversion,786950000,1388581089.045484,786.95,1388.58
2013,Educación,22,Instituto nacional de formación técnica profesional de san juan del cesar,2239,Funcionamiento,3265827018,5762584201.396028,3265.83,5762.58
2013,Educación,22,Instituto nacional de formación técnica profesional de san juan del cesar,2239,Inversion,1698315701,2996694917.895195,1698.32,2996.69
2013,Educación,22,Instituto tolimense de formación técnica profesional,2241,Funcionamiento,9748127797,17200668292.15682,9748.13,17200.67
2013,Educación,22,Instituto tolimense de formación técnica profesional,2241,Inversion,600740000,1060011695.067264,600.74,1060.01
2013,Educación,22,"Instituto técnico nacional de comercio ""simón rodríguez"" de cali",2242,Funcionamiento,4157198202,7335417506.463036,4157.2,7335.42
2013,Educación,22,"Instituto técnico nacional de comercio ""simón rodríguez"" de cali",2242,Inversion,287116568,506620035.1692504,287.12,506.62
2013,Tecnologías de la información y las comunicaciones,23,Ministerio de tecnologías de la información y las comunicaciones,2301,Funcionamiento,64534400000,113871589596.4125,64534.4,113871.59
2013,Tecnologías de la información y las comunicaciones,23,Ministerio de tecnologías de la información y las comunicaciones,2301,Inversion,8550000000,15086559897.5016,8550.0,15086.56
2013,Tecnologías de la información y las comunicaciones,23,Fondo único de tecnologías de la información y las comunicaciones,2306,Funcionamiento,346709700000,611772708315.1825,346709.7,611772.71
2013,Tecnologías de la información y las comunicaciones,23,Fondo único de tecnologías de la información y las comunicaciones,2306,Inversion,993315800000,1752715592261.371,993315.8,1752715.59
2013,Tecnologías de la información y las comunicaciones,23,Agencia nacional del espectro - ane,2309,Funcionamiento,9664000000,17052223959.00064,9664.0,17052.22
2013,Tecnologías de la información y las comunicaciones,23,Agencia nacional del espectro - ane,2309,Inversion,18500000000,32643433696.34849,18500.0,32643.43
2013,Transporte,24,Ministerio de transporte,2401,Funcionamiento,101182300000,178537173042.9212,101182.3,178537.17
2013,Transporte,24,Ministerio de transporte,2401,Inversion,141894300000,250373901294.0422,141894.3,250373.9
2013,Transporte,24,Instituto nacional de vías,2402,Funcionamiento,118498600000,209091956335.6823,118498.6,209091.96
2013,Transporte,24,Instituto nacional de vías,2402,Deuda,59180100000,104423874080.7175,59180.1,104423.87
2013,Transporte,24,Instituto nacional de vías,2402,Inversion,3764202787083,6641973194581.303,3764202.79,6641973.19
2013,Transporte,24,Unidad administrativa especial de la aeronáutica civil,2412,Funcionamiento,251504300000,443781834670.0833,251504.3,443781.83
2013,Transporte,24,Unidad administrativa especial de la aeronáutica civil,2412,Deuda,1212600000,2139644740.550929,1212.6,2139.64
2013,Transporte,24,Unidad administrativa especial de la aeronáutica civil,2412,Inversion,454754397562,802418649996.6512,454754.4,802418.65
2013,Transporte,24,Agencia nacional de infraestructura,2413,Funcionamiento,79156720000,139672818429.212,79156.72,139672.82
2013,Transporte,24,Agencia nacional de infraestructura,2413,Deuda,296770295000,523654132317.745,296770.3,523654.13
2013,Transporte,24,Agencia nacional de infraestructura,2413,Inversion,2818364111869,4973031460430.476,2818364.11,4973031.46
2013,Organismos de control,25,Procuraduría general de la nación,2501,Funcionamiento,426007000000,751693581550.2882,426007.0,751693.58
2013,Organismos de control,25,Procuraduría general de la nación,2501,Inversion,34352000000,60614445099.29532,34352.0,60614.45
2013,Organismos de control,25,Defensoría del pueblo,2502,Funcionamiento,302406000000,533598389750.1601,302406.0,533598.39
2013,Organismos de control,25,Defensoría del pueblo,2502,Inversion,15382000000,27141691736.06662,15382.0,27141.69
2013,Organismos de control,25,Contraloría general de la república,2601,Funcionamiento,386614000000,682184241896.2203,386614.0,682184.24
2013,Organismos de control,25,Contraloría general de la república,2601,Inversion,70071000000,123640975272.2614,70071.0,123640.98
2013,Organismos de control,25,Fondo de bienestar social de la contraloría general de la república,2602,Funcionamiento,52864000000,93279052914.7982,52864.0,93279.05
2013,Organismos de control,25,Fondo de bienestar social de la contraloría general de la república,2602,Inversion,6200000000,10939961563.10057,6200.0,10939.96
